first_name,second_name,club_name,position,cost
Lewis,Dunk,Brighton,Defender,4.5
Julio,Enciso,Brighton,Midfielder,5.5
Pervis,Estupiñán,Brighton,Defender,5.0
Evan,Ferguson,Brighton,Forward,5.5
Billy,Gilmour,Brighton,Midfielder,5.0
Pascal,Groß,Brighton,Midfielder,6.5
Jack,Hinshelwood,Brighton,Midfielder,5.0
Ibrahim,Osman,Brighton,Midfielder,5.0
Igor Julio,dos Santos de Paulo,Brighton,Defender,4.5
João Pedro,Junqueira de Jesus,Brighton,Forward,5.5
Kacper,Kozłowski,Brighton,Midfielder,4.5
Tariq,Lamptey,Brighton,Defender,4.5
Solly,March,Brighton,Midfielder,6.5
Adrian,Mazilu,Brighton,Midfielder,4.5
James,Milner,Brighton,Midfielder,5.0
Yankuba,Minteh,Brighton,Midfielder,5.5
Mitoma,Kaoru,Brighton,Midfielder,6.5
Jakub,Moder,Brighton,Midfielder,4.5
Mark,O’Mahony,Brighton,Forward,4.5
Odeluga,Offiah,Brighton,Defender,4.0
Cameron,Peupion,Brighton,Midfielder,4.5
Jeremy,Sarmiento Morante,Brighton,Midfielder,5.0
Jason,Steele,Brighton,Goalkeeper,4.5
Deniz,Undav,Brighton,Forward,5.5
Jan Paul,van Hecke,Brighton,Defender,4.5
Joël,Veltman,Brighton,Defender,4.5
Bart,Verbruggen,Brighton,Goalkeeper,4.5
Adam,Webster,Brighton,Defender,4.5
Danny,Welbeck,Brighton,Forward,5.5
Mats,Wieffer,Brighton,Midfielder,5.0
Andrey,Nascimento dos Santos,Chelsea,Midfielder,4.5
Ângelo Gabriel,Borges Damaceno,Chelsea,Midfielder,4.5
Kepa,Arrizabalaga,Chelsea,Goalkeeper,4.5
Benoît,Badiashile,Chelsea,Defender,4.5
Lucas,Bergström,Chelsea,Goalkeeper,4.0
Marcus,Bettinelli,Chelsea,Goalkeeper,4.0
Armando,Broja,Chelsea,Forward,5.5
Moisés,Caicedo Corozo,Chelsea,Midfielder,5.0
Cesare,Casadei,Chelsea,Midfielder,4.5
Trevoh,Chalobah,Chelsea,Defender,4.5
Ben,Chilwell,Chelsea,Defender,5.0
Carney,Chukwuemeka,Chelsea,Midfielder,5.0
Levi,Colwill,Chelsea,Defender,4.5
Marc,Cucurella Saseta,Chelsea,Defender,5.0
David Datro,Fofana,Chelsea,Forward,5.5
Deivid Washington,de Souza Eugênio,Chelsea,Forward,5.0
Kiernan,Dewsbury-Hall,Chelsea,Midfielder,6.0
Axel,Disasi,Chelsea,Defender,4.5
Enzo,Fernández,Chelsea,Midfielder,5.0
Conor,Gallagher,Chelsea,Midfielder,6.0
Alfie,Gilchrist,Chelsea,Defender,4.0
Malo,Gusto,Chelsea,Defender,5.0
Reece,James,Chelsea,Defender,5.0
Omari,Kellyman,Chelsea,Midfielder,4.5
Roméo,Lavia,Chelsea,Midfielder,4.5
Romelu,Lukaku Bolingoli,Chelsea,Forward,6.5
Malang,Sarr,Chelsea,Defender,4.5
Noni,Madueke,Chelsea,Midfielder,6.5
Marc,Guiu Paz,Chelsea,Forward,5.0
Mykhailo,Mudryk,Chelsea,Midfielder,6.5
Nicolas,Jackson,Chelsea,Forward,7.5
Christopher,Nkunku,Chelsea,Midfielder,6.5
Cole,Palmer,Chelsea,Midfielder,10.5
Đorđe,Petrović,Chelsea,Goalkeeper,4.5
Renato,Palma Veiga,Chelsea,Midfielder,4.5
Robert,Sánchez,Chelsea,Goalkeeper,4.5
Raheem,Sterling,Chelsea,Midfielder,7.0
Tosin,Adarabioyo,Chelsea,Defender,4.5
Lesley,Ugochukwu,Chelsea,Midfielder,4.5
Wesley,Fofana,Chelsea,Defender,4.5
Naouirou,Ahamada,Crystal Palace,Midfielder,4.5
Joachim,Andersen,Crystal Palace,Defender,4.5
Jordan,Ayew,Crystal Palace,Midfielder,5.5
Cheick,Doucouré,Crystal Palace,Midfielder,5.0
Chris,Richards,Crystal Palace,Defender,4.5
Chadi,Riad Dnanou,Crystal Palace,Defender,4.5
Nathaniel,Clyne,Crystal Palace,Defender,4.5
Malcolm,Ebiowei,Crystal Palace,Midfielder,4.5
Odsonne,Edouard,Crystal Palace,Forward,5.5
Eberechi,Eze,Crystal Palace,Midfielder,7.0
Marc,Guéhi,Crystal Palace,Defender,4.5
Dean,Henderson,Crystal Palace,Goalkeeper,4.5
Rob,Holding,Crystal Palace,Defender,4.5
Will,Hughes,Crystal Palace,Midfielder,5.0
Sam,Johnstone,Crystal Palace,Goalkeeper,4.5
Daichi,Kamada,Crystal Palace,Midfielder,5.5
Jefferson,Lerma Solís,Crystal Palace,Midfielder,5.0
Jean-Philippe,Mateta,Crystal Palace,Forward,7.5
Matheus,França de Oliveira,Crystal Palace,Midfielder,4.5
