first_name,second_name,club_name,position,cost
Luis Guilherme,Lira dos Santos,West Ham,Midfielder,5.0
Lucas,Tolentino Coelho de Lima,West Ham,Midfielder,6.0
Konstantinos,Mavropanos,West Ham,Defender,4.5
Nayef,Aguerd,West Ham,Defender,4.5
Tomáš,Souček,West Ham,Midfielder,5.0
James,Ward-Prowse,West Ham,Midfielder,6.5
Kurt,Zouma,West Ham,Defender,4.5
Rayan,Aït-Nouri,Wolves,Defender,4.5
Boubacar,Traoré,Wolves,Midfielder,5.0
Jean-Ricner,Bellegarde,Wolves,Midfielder,5.0
Daniel,Bentley,Wolves,Goalkeeper,4.0
Francisco Jorge,Tomás Oliveira,Wolves,Midfielder,4.5
Tawanda,Chirewa,Wolves,Midfielder,4.5
Leon,Chiwome,Wolves,Forward,4.5
Luke,Cundle,Wolves,Midfielder,4.5
Matheus,Santos Carneiro Da Cunha,Wolves,Forward,6.5
Craig,Dawson,Wolves,Defender,4.5
Matt,Doherty,Wolves,Defender,4.5
Tommy,Doyle,Wolves,Midfielder,5.0
Fábio,Silva,Wolves,Forward,5.0
Nathan,Fraser,Wolves,Forward,4.5
Enso,González,Wolves,Midfielder,4.5
Gonçalo Manuel,Ganchinho Guedes,Wolves,Midfielder,5.5
Hugo,Bueno López,Wolves,Defender,4.5
Hwang,Hee-chan,Wolves,Midfielder,6.5
Joe,Hodge,Wolves,Midfielder,4.5
Ki-Jana,Hoever,Wolves,Defender,4.0
João Victor,Gomes da Silva,Wolves,Midfielder,5.0
José,Malheiro de Sá,Wolves,Goalkeeper,4.5
Saša,Kalajdžić,Wolves,Forward,5.0
Tom,King,Wolves,Goalkeeper,4.0
Mario,Lemina,Wolves,Midfielder,5.0
Yerson,Mosquera,Wolves,Defender,4.0
Nélson,Cabral Semedo,Wolves,Defender,4.5
Pedro,Lomba Neto,Wolves,Midfielder,6.5
Pedro,Cardoso de Lima,Wolves,Defender,4.0
Daniel,Castelo Podence,Wolves,Midfielder,5.5
Rodrigo,Martins Gomes,Wolves,Midfielder,5.5
Santiago,Bueno,Wolves,Defender,4.5
Pablo,Sarabia,Wolves,Midfielder,5.5
Jørgen,Strand Larsen,Wolves,Forward,5.5
Toti António,Gomes,Wolves,Defender,4.5
